dataset,probe_type,layer,auroc,accuracy,f1
5T2L_direct_liar,sklearn_logisticC10.0_l2,22,0.6726415094339623,0.6246786632390745,0.5197368421052632
10T1L_direct_liar,sklearn_logisticC1.0_l2,44,0.6720399234345091,0.6529562982005142,0.2931937172774869
10T1L_direct_liar,sklearn_logisticC10.0_l2,44,0.6715750615258408,0.6529562982005142,0.2931937172774869
5T2L_roleplay,sklearn_logisticC0.1_l2,22,0.6697156138911676,0.6323907455012854,0.5431309904153354
5T2L_conditional,sklearn_logisticC0.01_l2,44,0.6678835110746513,0.6760925449871465,0.5298507462686567
5T2L_roleplay,sklearn_logisticC10.0_l2,22,0.6640552365326771,0.6169665809768637,0.5049833887043189
5T2L_roleplay,sklearn_logisticC1.0_l2,22,0.6632622368061252,0.6195372750642674,0.5099337748344371
5T2L_instructional,sklearn_logisticC1.0_l1,22,0.6601722723543888,0.6118251928020566,0.5623188405797102
5T2L_conditional,meandiffdefault,36,0.6578479628110474,0.5398457583547558,0.5398457583547558
5T2L_conditional,sklearn_logisticC1.0_l1,22,0.6491796554552912,0.6118251928020566,0.5545722713864307
5T2L_conditional,sklearn_logisticC1.0_l1,44,0.6478671041837571,0.6529562982005142,0.47058823529411764
5T2L_instructional,sklearn_logisticC0.1_l2,22,0.6454334153677879,0.6041131105398457,0.5549132947976878
5T2L_conditional,sklearn_logisticC0.1_l2,44,0.6440661744599399,0.6452442159383034,0.4609375
5T2L_conditional,sklearn_logisticC1.0_l2,44,0.6387612797374898,0.6452442159383034,0.46511627906976744
5T2L_instructional,sklearn_logisticC0.01_l2,44,0.6387612797374898,0.6066838046272494,0.5349544072948328
5T2L_conditional,sklearn_logisticC10.0_l2,44,0.6379956248290949,0.6478149100257069,0.47104247104247104
5T2L_instructional,sklearn_logisticC1.0_l2,22,0.6361088323762647,0.6041131105398457,0.5549132947976878
5T2L_conditional,sklearn_logisticC0.1_l2,22,0.6356986601039103,0.6041131105398457,0.5497076023391813
5T2L_direct_liar,sklearn_logisticC0.01_l2,44,0.6351517637407711,0.6041131105398457,0.5304878048780488
5T2L_instructional,sklearn_logisticC10.0_l2,22,0.6347415914684167,0.6066838046272494,0.5565217391304348
5T2L_instructional,sklearn_logisticC0.01_l2,36,0.6286163522012579,0.5732647814910026,0.5337078651685393
5T2L_direct_liar,sklearn_logisticC0.01_l2,36,0.627905386929177,0.5732647814910026,0.5414364640883977
5T2L_conditional,sklearn_logisticC1.0_l2,22,0.6275772491112933,0.5938303341902313,0.5269461077844312
5T2L_roleplay,sklearn_logisticC0.01_l2,44,0.6273038009297239,0.622107969151671,0.5303514376996805
5T2L_conditional,sklearn_logisticC10.0_l2,22,0.626538146021329,0.5886889460154242,0.5209580838323353
5T2L_instructional,sklearn_logisticC1.0_l1,44,0.6257178014766203,0.6143958868894601,0.5370370370370371
5T2L_neutral,sklearn_logisticC0.01_l2,22,0.6223270440251574,0.5809768637532133,0.48580441640378547
5T2L_instructional,sklearn_logisticC0.1_l2,44,0.617705769756631,0.6015424164524421,0.5259938837920489
5T2L_instructional,meandiffdefault,44,0.6170768389390211,0.5141388174807198,0.5286783042394015
5T2L_roleplay,sklearn_logisticC0.01_l2,36,0.6163111840306261,0.5758354755784062,0.5161290322580645
5T2L_direct_liar,sklearn_logisticC1.0_l1,44,0.6149439431227781,0.5989717223650386,0.5094339622641509
5T2L_instructional,sklearn_logisticC10.0_l2,44,0.6144790812141099,0.6041131105398457,0.5276073619631901
5T2L_instructional,sklearn_logisticC1.0_l2,44,0.6134126333059886,0.6015424164524421,0.5259938837920489
5T2L_roleplay,meandiffdefault,44,0.6115258408531583,0.5089974293059126,0.528395061728395
5T2L_roleplay,sklearn_logisticC1.0_l1,44,0.6101859447634673,0.6246786632390745,0.525974025974026
5T2L_instructional,sklearn_logisticC1.0_l1,36,0.6101312551271534,0.570694087403599,0.5214899713467048
5T2L_direct_liar,sklearn_logisticC0.1_l2,44,0.6067404976756905,0.6015424164524421,0.5079365079365079
5T2L_direct_liar,sklearn_logisticC1.0_l1,36,0.6038692917692097,0.5526992287917738,0.5056818181818182
5T2L_instructional,sklearn_logisticC0.1_l2,36,0.6038692917692097,0.5681233933161953,0.5087719298245614
5T2L_conditional,sklearn_logisticC0.01_l2,36,0.6034317746786984,0.6066838046272494,0.47058823529411764
5T2L_direct_liar,sklearn_logisticC1.0_l2,44,0.6006972928630024,0.6143958868894601,0.5161290322580645
5T2L_direct_liar,sklearn_logisticC10.0_l2,44,0.5992753623188406,0.6118251928020566,0.511326860841424
5T2L_instructional,sklearn_logisticC1.0_l2,36,0.5986464315012305,0.5604113110539846,0.49258160237388726
5T2L_instructional,sklearn_logisticC10.0_l2,36,0.5982089144107191,0.5578406169665809,0.4911242603550296
5T2L_direct_liar,sklearn_logisticC0.1_l2,36,0.596322121957889,0.5501285347043702,0.5014245014245015
5T2L_roleplay,sklearn_logisticC0.1_l2,44,0.5959119496855345,0.6169665809768637,0.517799352750809
10T1L_direct_liar,meandiffdefault,44,0.5948181569592562,0.4138817480719794,0.5107296137339056
5T2L_conditional,meandiffdefault,44,0.5924938474159146,0.506426735218509,0.48936170212765956
5T2L_conditional,sklearn_logisticC1.0_l1,36,0.592329778506973,0.6066838046272494,0.45161290322580644
5T2L_conditional,sklearn_logisticC0.1_l2,36,0.5922750888706589,0.5938303341902313,0.4357142857142857
5T2L_neutral,sklearn_logisticC1.0_l1,22,0.5918375717801476,0.5552699228791774,0.4472843450479233
5T2L_direct_liar,sklearn_logisticC1.0_l2,36,0.5908531583264971,0.5629820051413882,0.4970414201183432
5T2L_roleplay,sklearn_logisticC1.0_l2,44,0.5908531583264971,0.6118251928020566,0.50814332247557
5T2L_roleplay,sklearn_logisticC10.0_l2,44,0.5905250205086136,0.6118251928020566,0.50814332247557
5T2L_roleplay,sklearn_logisticC1.0_l1,36,0.5900601585999453,0.570694087403599,0.46645367412140576
5T2L_roleplay,sklearn_logisticC0.1_l2,36,0.5899507793273175,0.5732647814910026,0.46794871794871795
5T2L_conditional,sklearn_logisticC10.0_l2,36,0.5895132622368061,0.5861182519280206,0.4059040590405904
5T2L_direct_liar,sklearn_logisticC10.0_l2,36,0.588966365873667,0.5655526992287918,0.4924924924924925
5T2L_conditional,sklearn_logisticC1.0_l2,36,0.588255400601586,0.5886889460154242,0.4074074074074074
5T2L_roleplay,sklearn_logisticC1.0_l2,36,0.586177194421657,0.5732647814910026,0.45394736842105265
5T2L_neutral,sklearn_logisticC0.1_l2,22,0.5850834016953786,0.5552699228791774,0.4472843450479233
5T2L_roleplay,sklearn_logisticC10.0_l2,36,0.5843997812414548,0.5732647814910026,0.45394736842105265
5T2L_neutral,sklearn_logisticC1.0_l2,22,0.575430680885972,0.5552699228791774,0.4364820846905538
5T2L_neutral,sklearn_logisticC10.0_l2,22,0.5737079573420837,0.5475578406169666,0.4358974358974359
5T2L_direct_liar,meandiffdefault,36,0.5723954060705496,0.40616966580976865,0.5761467889908257
5T2L_direct_liar,meandiffdefault,44,0.5239130434782608,0.38817480719794345,0.5492424242424242
